zip_code,latitude,longitude
02538,41.76820,-70.65320
02539,41.38890,-70.53390
02540,41.56480,-70.62170
02541,41.55150,-70.61480
02542,41.65310,-70.55370
02543,41.52630,-70.66430
02552,41.37980,-70.64310
02553,41.71960,-70.61200
02554,41.27250,-70.09320
02556,41.64170,-70.62300
02557,41.45430,-70.56200
02558,41.74760,-70.65820
02559,41.68810,-70.61050
02561,41.77030,-70.53370
02562,41.79330,-70.51960
02563,41.71130,-70.47750
02564,41.26390,-69.96260
02568,41.45000,-70.59370
02571,41.75410,-70.71160
02574,41.60390,-70.63820
02575,41.42130,-70.64280
02576,41.77960,-70.76420
02584,41.27780,-70.04600
02601,41.66010,-70.29670
02630,41.69830,-70.30010
02631,41.74920,-70.06990
02632,41.66060,-70.35320
02633,41.68890,-69.97220
02634,41.64870,-70.34810
02635,41.62430,-70.43640
02637,41.70140,-70.27720
02638,41.73220,-70.19110
02639,41.66490,-70.13270
02641,41.74260,-70.16200
02642,41.84080,-69.98490
02643,41.78430,-69.96200
02644,41.68270,-70.51430
02645,41.70080,-70.05790
02646,41.67030,-70.07220
02647,41.63500,-70.30630
02648,41.67030,-70.41630
02649,41.61810,-70.48540
02650,41.70300,-69.96660
02651,41.82430,-69.98180
02652,42.03380,-70.08750
02653,41.77920,-69.98220
02655,41.63000,-70.38370
02657,42.05340,-70.18650
02659,41.68010,-70.02410
02660,41.70970,-70.15850
02661,41.68620,-70.03290
02662,41.75670,-69.98410
02663,41.91820,-69.99530
02664,41.67390,-70.19490
02666,41.99880,-70.05640
02667,41.92890,-70.01860
02668,41.70020,-70.37200
02669,41.68120,-69.99110
02670,41.66260,-70.16810
02671,41.66940,-70.11350
02672,41.63560,-70.32330
02673,41.66140,-70.23630
02675,41.70510,-70.22700
02702,41.79750,-71.06070
02703,41.92960,-71.30090
02712,41.94870,-71.22590
02713,41.42180,-70.93130
02714,41.75620,-71.06710
02715,41.81250,-71.14270
02717,41.76350,-70.96770
02718,41.87360,-71.01920
02719,41.64090,-70.88960
02720,41.71820,-71.14000
02721,41.68830,-71.15740
02722,41.70150,-71.15500
02723,41.69260,-71.13320
02724,41.68500,-71.17480
02725,41.72230,-71.17800
02726,41.75600,-71.14920
02738,41.70950,-70.76130
02739,41.66180,-70.81640
02740,41.63470,-70.93720
02741,41.63620,-70.93420
02742,41.63620,-70.93420
02743,41.69970,-70.90870
02744,41.61270,-70.91670
02745,41.69130,-70.93550
02746,41.66000,-70.93240
02747,41.63380,-70.99580
02748,41.56650,-70.98430
02760,41.97750,-71.32980
02761,41.98340,-71.33280
02762,42.01240,-71.32750
02763,41.97260,-71.30820
02764,41.85290,-71.14850
02766,41.97180,-71.18940
02767,41.93240,-71.04690
02768,41.75620,-71.06710
02769,41.85150,-71.25450
02770,41.75910,-70.85230
02771,41.83780,-71.32240
02777,41.74730,-71.21220
02779,41.83530,-71.07650
02780,41.90500,-71.10260
02783,41.75620,-71.06710
02790,41.62110,-71.08900
02791,41.52230,-71.07450
02801,41.53010,-71.28410
02802,41.95120,-71.45450
02804,41.42310,-71.78370
02806,41.74430,-71.31750
02807,41.17150,-71.57480
02808,41.41140,-71.74650
02809,41.68250,-71.26760
02812,41.46910,-71.67510
02813,41.40070,-71.66150
02814,41.91550,-71.67950
02815,41.77780,-71.67060
02816,41.69140,-71.57680
02817,41.64000,-71.64350
02818,41.64980,-71.47400
02822,41.57400,-71.60760
02823,41.73120,-71.54680
02824,42.00020,-71.56310
02825,41.78150,-71.71870
02826,41.97620,-71.63260
02827,41.70620,-71.73560
02828,41.87340,-71.55690
02829,41.87930,-71.58940
02830,41.97640,-71.65340
02831,41.75160,-71.56120
02832,41.50960,-71.73390
02833,41.47510,-71.77260
02835,41.51640,-71.37610
02836,41.44740,-71.62040
02837,41.52200,-71.16120
02838,41.96890,-71.47410
02839,41.94170,-71.63760
02840,41.48760,-71.32710
02841,41.49900,-71.29900
02842,41.51980,-71.27310
02852,41.58940,-71.46250
02857,41.84390,-71.62420
02858,41.95730,-71.64780
02859,41.96270,-71.70990
02860,41.87290,-71.39070
02861,41.88140,-71.35600
02862,41.86120,-71.36910
02863,41.88830,-71.39450
02864,41.94840,-71.41540
02865,41.90890,-71.43480
02871,41.59440,-71.25200
02872,41.70710,-71.28680
02873,41.51990,-71.77400
02874,41.51050,-71.44270
02875,41.45600,-71.63550
02876,41.99840,-71.57630
02877,41.52890,-71.52990
02878,41.63380,-71.18080
02879,41.44370,-71.53420
02880,41.37530,-71.64390
02881,41.48030,-71.52920
02882,41.43530,-71.46160
02883,41.45120,-71.49870
02885,41.72560,-71.27020
02886,41.70260,-71.44760
02887,41.70010,-71.41620
02888,41.74940,-71.40840
